epoch,tracking_low,tracking_high,smooth_low,smooth_high,constraint_low,constraint_high
0,7.612539e-05,9.854248e-06,9.459838e-04,6.054134e-05,6.731268e-07,2.801134e-06
1,5.429562e-05,1.042699e-05,7.031986e-04,5.795524e-05,8.359669e-07,2.176038e-06
2,4.916289e-05,1.052971e-05,5.062955e-04,4.758546e-05,7.767394e-07,2.070225e-06
3,4.626306e-05,1.076875e-05,3.221907e-04,3.359468e-05,7.722942e-07,2.055719e-06
4,4.362015e-05,1.095453e-05,1.804074e-04,2.125072e-05,7.757000e-07,2.057079e-06
5,4.162167e-05,1.112530e-05,1.206157e-04,1.588009e-05,7.433911e-07,2.062571e-06
6,4.059705e-05,1.130169e-05,1.046977e-04,1.451754e-05,7.456363e-07,2.093132e-06
7,3.935310e-05,1.146400e-05,9.430591e-05,1.402129e-05,7.341021e-07,2.108925e-06
8,3.755422e-05,1.144110e-05,8.967197e-05,1.368528e-05,7.264298e-07,2.068998e-06
9,3.703600e-05,1.155344e-05,8.710740e-05,1.362976e-05,7.240559e-07,2.070146e-06
10,3.515094e-05,1.057746e-05,1.494949e-04,1.713512e-05,6.352676e-07,2.049095e-06
11,3.380916e-05,1.072404e-05,1.368318e-04,1.611836e-05,6.204798e-07,2.004442e-06
12,3.360479e-05,1.081150e-05,1.324656e-04,1.574766e-05,6.183960e-07,1.997178e-06
13,3.316565e-05,1.087554e-05,1.212979e-04,1.539070e-05,6.144045e-07,2.005579e-06
14,3.245784e-05,1.084561e-05,1.287585e-04,1.592082e-05,6.080521e-07,1.962479e-06
15,3.263619e-05,1.095494e-05,1.182666e-04,1.533399e-05,6.036335e-07,1.979568e-06
16,3.237452e-05,1.098502e-05,1.315374e-04,1.598230e-05,6.098326e-07,1.985793e-06
17,3.207695e-05,1.096013e-05,1.228646e-04,1.554899e-05,5.987908e-07,2.009506e-06
18,3.136274e-05,1.095176e-05,1.238206e-04,1.573611e-05,5.882097e-07,1.936506e-06
19,3.111670e-05,1.094338e-05,1.235013e-04,1.566962e-05,5.875338e-07,1.936321e-06
20,2.975239e-05,1.060130e-05,1.126976e-04,1.520905e-05,5.137348e-07,1.896226e-06
21,2.968512e-05,1.063438e-05,1.076591e-04,1.491507e-05,5.099988e-07,1.896149e-06
22,2.923963e-05,1.060362e-05,1.140964e-04,1.527430e-05,5.036582e-07,1.867472e-06
23,2.917598e-05,1.063165e-05,1.134565e-04,1.543307e-05,5.119731e-07,1.862243e-06
24,2.918362e-05,1.064703e-05,1.020069e-04,1.476368e-05,5.058954e-07,1.861656e-06
