epoch,tracking_low,tracking_high,smooth_low,smooth_high,constraint_low,constraint_high
0,8.670135e-05,1.238060e-05,2.529787e-04,8.861199e-05,5.214180e-07,6.808529e-06
1,6.274319e-05,1.269269e-05,2.282439e-04,7.929624e-05,6.789624e-07,5.764233e-06
2,5.842950e-05,1.268320e-05,2.077888e-04,7.307857e-05,6.629899e-07,5.585984e-06
3,5.722094e-05,1.262530e-05,1.894907e-04,6.897331e-05,6.403095e-07,5.496494e-06
4,5.465869e-05,1.252638e-05,1.712074e-04,6.553656e-05,6.306714e-07,5.440119e-06
5,5.252907e-05,1.248531e-05,1.558599e-04,6.227160e-05,6.086525e-07,5.401614e-06
6,5.152077e-05,1.253768e-05,1.422458e-04,5.889043e-05,6.032809e-07,5.375319e-06
7,5.056061e-05,1.264270e-05,1.305788e-04,5.617886e-05,6.000656e-07,5.348808e-06
8,4.834062e-05,1.243870e-05,1.198886e-04,5.311782e-05,5.825588e-07,5.323112e-06
9,4.781525e-05,1.264280e-05,1.137079e-04,5.143004e-05,5.743863e-07,5.316807e-06
10,4.608457e-05,1.246508e-05,1.005803e-04,4.768020e-05,5.690992e-07,5.260269e-06
11,4.558935e-05,1.253129e-05,9.571412e-05,4.621598e-05,5.551022e-07,5.281266e-06
12,4.518988e-05,1.239878e-05,9.120957e-05,4.446990e-05,5.592049e-07,5.270407e-06
13,4.468060e-05,1.252070e-05,8.619260e-05,4.327012e-05,5.528566e-07,5.254891e-06
14,4.392012e-05,1.253712e-05,8.265137e-05,4.209817e-05,5.497570e-07,5.247708e-06
15,4.336161e-05,1.251742e-05,7.828972e-05,4.111924e-05,5.468776e-07,5.237865e-06
16,4.353860e-05,1.265367e-05,7.631302e-05,4.035550e-05,5.456316e-07,5.239340e-06
17,4.313145e-05,1.249962e-05,7.246757e-05,3.971269e-05,5.433736e-07,5.226260e-06
18,4.217603e-05,1.233778e-05,7.242236e-05,3.914797e-05,5.400898e-07,5.204263e-06
19,4.221872e-05,1.224961e-05,6.920177e-05,3.837411e-05,5.367057e-07,5.218358e-06
20,4.049418e-05,1.232661e-05,6.590281e-05,3.723393e-05,5.311396e-07,5.198189e-06
21,4.069040e-05,1.237281e-05,6.338358e-05,3.653491e-05,5.330347e-07,5.194687e-06
22,4.075502e-05,1.230549e-05,6.310222e-05,3.630082e-05,5.369670e-07,5.180842e-06
23,4.038052e-05,1.241535e-05,6.149159e-05,3.623636e-05,5.291108e-07,5.187375e-06
24,4.010802e-05,1.233178e-05,6.141820e-05,3.612940e-05,5.286433e-07,5.173844e-06
25,4.015656e-05,1.236854e-05,6.186931e-05,3.606661e-05,5.260978e-07,5.178445e-06
26,4.045712e-05,1.259504e-05,6.094012e-05,3.606832e-05,5.288259e-07,5.191432e-06
27,4.016557e-05,1.243047e-05,6.033569e-05,3.574270e-05,5.304150e-07,5.159264e-06
28,3.937192e-05,1.235891e-05,5.925411e-05,3.536388e-05,5.312075e-07,5.162535e-06
29,3.916472e-05,1.228801e-05,5.849934e-05,3.519744e-05,5.243182e-07,5.153246e-06
30,3.935974e-05,1.242459e-05,5.563742e-05,3.441320e-05,5.282773e-07,5.145375e-06
31,3.878969e-05,1.231508e-05,5.423512e-05,3.407643e-05,5.238528e-07,5.135502e-06
32,3.851858e-05,1.236223e-05,5.411966e-05,3.376823e-05,5.220282e-07,5.141232e-06
33,3.879072e-05,1.233373e-05,5.390483e-05,3.411029e-05,5.174955e-07,5.142026e-06
34,3.841109e-05,1.239710e-05,5.500798e-05,3.386250e-05,5.287831e-07,5.146532e-06
35,3.843730e-05,1.237883e-05,5.386451e-05,3.408174e-05,5.215222e-07,5.144805e-06
36,3.808461e-05,1.226889e-05,5.288479e-05,3.378682e-05,5.242045e-07,5.126916e-06
37,3.813430e-05,1.225953e-05,5.278083e-05,3.369953e-05,5.138769e-07,5.128109e-06
38,3.773105e-05,1.225889e-05,5.385626e-05,3.347747e-05,5.220143e-07,5.121787e-06
39,3.802166e-05,1.229514e-05,5.307458e-05,3.357673e-05,5.180759e-07,5.116171e-06
40,3.721050e-05,1.234513e-05,5.006199e-05,3.271757e-05,5.188021e-07,5.119525e-06
41,3.713536e-05,1.233306e-05,5.059162e-05,3.267177e-05,5.127580e-07,5.101484e-06
42,3.740461e-05,1.253567e-05,4.874723e-05,3.258833e-05,5.133350e-07,5.135883e-06
43,3.733958e-05,1.236595e-05,4.872702e-05,3.271452e-05,5.128502e-07,5.107512e-06
44,3.728306e-05,1.234317e-05,4.861948e-05,3.266234e-05,5.205918e-07,5.110365e-06
45,3.716156e-05,1.242230e-05,4.987576e-05,3.284697e-05,5.116165e-07,5.111818e-06
46,3.692695e-05,1.232470e-05,4.850561e-05,3.239437e-05,5.110658e-07,5.111874e-06
47,3.701614e-05,1.229449e-05,4.835731e-05,3.245252e-05,5.135031e-07,5.097957e-06
48,3.687036e-05,1.224787e-05,4.794050e-05,3.235627e-05,5.144445e-07,5.109399e-06
49,3.663923e-05,1.223734e-05,4.816968e-05,3.238764e-05,5.166462e-07,5.111503e-06
