epoch,tracking_low,tracking_high,smooth_low,smooth_high,constraint_low,constraint_high
0,8.529789e-05,1.232892e-05,2.531974e-04,8.816050e-05,5.361884e-07,6.792765e-06
1,6.354835e-05,1.280438e-05,2.249567e-04,8.113626e-05,6.799750e-07,5.807843e-06
2,5.874594e-05,1.268141e-05,2.054494e-04,7.507249e-05,6.779705e-07,5.579478e-06
3,5.669661e-05,1.260374e-05,1.873678e-04,7.011643e-05,6.425871e-07,5.498493e-06
4,5.501841e-05,1.264923e-05,1.723934e-04,6.649805e-05,6.374109e-07,5.447545e-06
5,5.348173e-05,1.275528e-05,1.586708e-04,6.315296e-05,6.200548e-07,5.404236e-06
6,5.205037e-05,1.263834e-05,1.425315e-04,5.912877e-05,6.095146e-07,5.358178e-06
7,5.072697e-05,1.258203e-05,1.326751e-04,5.637950e-05,6.026787e-07,5.331730e-06
8,4.835848e-05,1.246375e-05,1.223596e-04,5.349679e-05,5.844414e-07,5.313880e-06
9,4.792256e-05,1.264903e-05,1.130880e-04,5.111255e-05,5.788365e-07,5.293170e-06
10,4.588447e-05,1.173611e-05,1.055139e-04,4.941057e-05,5.032736e-07,4.974129e-06
11,4.455033e-05,1.178993e-05,9.922927e-05,4.771690e-05,4.964000e-07,4.919500e-06
12,4.400522e-05,1.172638e-05,9.308945e-05,4.610736e-05,4.879978e-07,4.885088e-06
13,4.293585e-05,1.172881e-05,8.765819e-05,4.450360e-05,4.785530e-07,4.869317e-06
14,4.216805e-05,1.176889e-05,8.468076e-05,4.373655e-05,4.797976e-07,4.856900e-06
15,4.178574e-05,1.172628e-05,8.047979e-05,4.263702e-05,4.767421e-07,4.841966e-06
16,4.154488e-05,1.170233e-05,7.826947e-05,4.193755e-05,4.765470e-07,4.823366e-06
17,4.122682e-05,1.174756e-05,7.429027e-05,4.108086e-05,4.764070e-07,4.832192e-06
18,4.071255e-05,1.170763e-05,7.386661e-05,4.083410e-05,4.706366e-07,4.812699e-06
19,4.033051e-05,1.167936e-05,7.315318e-05,4.042588e-05,4.654236e-07,4.798130e-06
20,3.862540e-05,1.138388e-05,6.950684e-05,4.029096e-05,4.248377e-07,4.528886e-06
21,3.850951e-05,1.146582e-05,6.976941e-05,4.000416e-05,4.221462e-07,4.523284e-06
22,3.836314e-05,1.144695e-05,6.850284e-05,3.943330e-05,4.198436e-07,4.508982e-06
23,3.798419e-05,1.146490e-05,6.782003e-05,3.931517e-05,4.161922e-07,4.494361e-06
24,3.743519e-05,1.146441e-05,6.640438e-05,3.907954e-05,4.181959e-07,4.491605e-06
25,3.755527e-05,1.150469e-05,6.504947e-05,3.859787e-05,4.196517e-07,4.484226e-06
26,3.751660e-05,1.153490e-05,6.474879e-05,3.837188e-05,4.177096e-07,4.487900e-06
27,3.735804e-05,1.148466e-05,6.394413e-05,3.808176e-05,4.196721e-07,4.467331e-06
28,3.703696e-05,1.147582e-05,6.386377e-05,3.808749e-05,4.139993e-07,4.471204e-06
29,3.644731e-05,1.147033e-05,6.202608e-05,3.754010e-05,4.145474e-07,4.456280e-06
30,3.548064e-05,1.127479e-05,6.034667e-05,3.765267e-05,3.803634e-07,4.231536e-06
31,3.523209e-05,1.125765e-05,6.014959e-05,3.740003e-05,3.777297e-07,4.230065e-06
32,3.517236e-05,1.128012e-05,5.986717e-05,3.737883e-05,3.799330e-07,4.220698e-06
33,3.498815e-05,1.125698e-05,5.865104e-05,3.719448e-05,3.823251e-07,4.203942e-06
34,3.486805e-05,1.125940e-05,5.805651e-05,3.713177e-05,3.774739e-07,4.201951e-06
35,3.461355e-05,1.130647e-05,5.871133e-05,3.708504e-05,3.785591e-07,4.215516e-06
36,3.455895e-05,1.125435e-05,5.666927e-05,3.666403e-05,3.776689e-07,4.211091e-06
37,3.453157e-05,1.133407e-05,5.676104e-05,3.660407e-05,3.771903e-07,4.224493e-06
38,3.459695e-05,1.130275e-05,5.678038e-05,3.672496e-05,3.776923e-07,4.208818e-06
39,3.431406e-05,1.137327e-05,5.536474e-05,3.631748e-05,3.742382e-07,4.218838e-06
40,3.364567e-05,1.134455e-05,5.444092e-05,3.628676e-05,3.485320e-07,4.046110e-06
41,3.362000e-05,1.136884e-05,5.363735e-05,3.613274e-05,3.524751e-07,4.055743e-06
42,3.322892e-05,1.145046e-05,5.326723e-05,3.594382e-05,3.512713e-07,4.057286e-06
43,3.327256e-05,1.144716e-05,5.178308e-05,3.574199e-05,3.490717e-07,4.060674e-06
44,3.300762e-05,1.144747e-05,5.223897e-05,3.572176e-05,3.489883e-07,4.057875e-06
45,3.306919e-05,1.145261e-05,5.133432e-05,3.560929e-05,3.488883e-07,4.047743e-06
46,3.278692e-05,1.148716e-05,5.112839e-05,3.553178e-05,3.501540e-07,4.046571e-06
47,3.277766e-05,1.148156e-05,5.100959e-05,3.556195e-05,3.476420e-07,4.045576e-06
48,3.284745e-05,1.150327e-05,5.060204e-05,3.539978e-05,3.498988e-07,4.055819e-06
49,3.245358e-05,1.154620e-05,5.021814e-05,3.503355e-05,3.506308e-07,4.041978e-06
