epoch,tracking_low,tracking_high,smooth_low,smooth_high,constraint_low,constraint_high
0,7.741390e-05,1.144199e-05,2.523410e-04,1.000159e-04,5.467103e-07,6.572885e-06
1,5.648087e-05,1.234380e-05,2.272229e-04,9.416106e-05,7.609327e-07,5.537714e-06
2,5.396707e-05,1.229163e-05,2.073675e-04,8.850268e-05,7.394319e-07,5.385970e-06
3,5.376009e-05,1.253088e-05,1.845656e-04,8.089860e-05,7.273624e-07,5.318988e-06
4,5.208566e-05,1.243289e-05,1.609755e-04,7.218969e-05,7.252869e-07,5.271142e-06
5,4.995936e-05,1.228173e-05,1.388073e-04,6.263323e-05,7.268135e-07,5.234760e-06
6,4.960490e-05,1.234312e-05,1.138119e-04,5.146640e-05,7.235971e-07,5.217326e-06
7,4.839138e-05,1.231810e-05,9.349256e-05,4.142661e-05,7.300871e-07,5.226970e-06
8,4.738164e-05,1.232529e-05,7.905912e-05,3.438129e-05,7.148532e-07,5.233042e-06
9,4.701098e-05,1.243918e-05,7.096966e-05,3.052957e-05,7.199831e-07,5.222113e-06
10,4.344570e-05,1.146779e-05,6.452356e-05,2.787254e-05,6.345248e-07,4.909589e-06
11,4.280465e-05,1.152967e-05,6.254215e-05,2.692389e-05,6.142096e-07,4.876663e-06
12,4.207001e-05,1.161993e-05,5.910143e-05,2.567371e-05,6.141417e-07,4.857664e-06
13,4.158019e-05,1.167574e-05,5.873372e-05,2.565917e-05,5.989488e-07,4.833967e-06
14,4.066634e-05,1.154839e-05,5.645273e-05,2.484028e-05,6.000123e-07,4.823214e-06
15,4.036289e-05,1.163348e-05,5.693322e-05,2.517269e-05,5.910342e-07,4.822146e-06
16,3.998215e-05,1.169449e-05,5.449050e-05,2.429618e-05,5.850214e-07,4.817066e-06
17,3.904797e-05,1.150857e-05,5.514623e-05,2.442638e-05,5.817328e-07,4.798290e-06
18,3.878753e-05,1.146930e-05,5.433707e-05,2.422197e-05,5.796637e-07,4.812948e-06
19,3.820101e-05,1.143872e-05,5.297418e-05,2.376887e-05,5.818720e-07,4.794510e-06
20,3.610742e-05,1.127478e-05,5.125677e-05,2.344023e-05,5.136525e-07,4.531156e-06
21,3.605663e-05,1.126058e-05,5.118631e-05,2.343690e-05,5.129034e-07,4.520558e-06
22,3.610684e-05,1.128012e-05,4.807220e-05,2.242479e-05,5.084710e-07,4.496133e-06
23,3.570077e-05,1.129318e-05,5.052269e-05,2.326530e-05,5.108516e-07,4.502519e-06
24,3.515616e-05,1.126506e-05,4.928326e-05,2.281842e-05,5.079371e-07,4.496670e-06
25,3.553977e-05,1.129795e-05,4.791710e-05,2.235213e-05,5.034641e-07,4.508245e-06
26,3.567714e-05,1.153759e-05,4.613536e-05,2.202102e-05,5.095723e-07,4.539557e-06
27,3.517322e-05,1.154100e-05,4.728397e-05,2.221131e-05,5.095834e-07,4.529141e-06
28,3.503484e-05,1.152781e-05,4.660057e-05,2.205147e-05,5.089677e-07,4.522214e-06
29,3.459552e-05,1.152670e-05,4.839264e-05,2.258205e-05,5.041429e-07,4.515234e-06
30,3.314372e-05,1.145440e-05,4.426097e-05,2.123005e-05,4.637146e-07,4.318984e-06
31,3.316299e-05,1.153866e-05,4.448105e-05,2.134213e-05,4.615480e-07,4.315438e-06
32,3.308402e-05,1.163195e-05,4.293783e-05,2.068754e-05,4.601981e-07,4.315555e-06
33,3.292734e-05,1.163991e-05,4.327643e-05,2.088168e-05,4.601463e-07,4.300337e-06
34,3.290235e-05,1.170995e-05,4.225197e-05,2.054689e-05,4.616007e-07,4.300000e-06
35,3.285262e-05,1.170488e-05,4.336374e-05,2.110084e-05,4.564558e-07,4.289961e-06
36,3.276895e-05,1.165172e-05,4.385968e-05,2.125320e-05,4.598281e-07,4.286622e-06
37,3.245179e-05,1.168981e-05,4.187776e-05,2.024599e-05,4.599625e-07,4.273098e-06
38,3.253284e-05,1.173343e-05,4.329127e-05,2.073630e-05,4.576656e-07,4.292529e-06
39,3.198838e-05,1.173583e-05,4.149733e-05,2.012722e-05,4.549267e-07,4.270738e-06
40,3.115368e-05,1.167793e-05,3.970059e-05,1.954695e-05,4.283513e-07,4.094138e-06
41,3.110445e-05,1.164003e-05,4.006362e-05,1.974410e-05,4.291400e-07,4.085720e-06
42,3.103115e-05,1.165225e-05,3.902066e-05,1.936699e-05,4.262233e-07,4.069102e-06
43,3.085671e-05,1.167261e-05,3.951592e-05,1.957530e-05,4.252473e-07,4.070879e-06
44,3.086066e-05,1.170985e-05,3.909875e-05,1.943673e-05,4.248946e-07,4.074055e-06
45,3.081657e-05,1.163688e-05,3.888255e-05,1.922707e-05,4.280713e-07,4.054177e-06
46,3.072095e-05,1.166565e-05,3.735598e-05,1.870361e-05,4.244260e-07,4.050191e-06
47,3.051780e-05,1.166701e-05,3.771243e-05,1.881857e-05,4.236432e-07,4.053571e-06
48,3.069146e-05,1.164716e-05,3.762697e-05,1.874761e-05,4.245593e-07,4.046348e-06
49,3.041066e-05,1.168351e-05,3.866239e-05,1.920764e-05,4.276823e-07,4.045924e-06
