epoch,tracking_low,tracking_high,smooth_low,smooth_high,constraint_low,constraint_high
0,7.654245e-05,1.144225e-05,2.506415e-04,9.994250e-05,5.342526e-07,6.556800e-06
1,5.455019e-05,1.189719e-05,2.257188e-04,9.283031e-05,7.534526e-07,5.460492e-06
2,5.494204e-05,1.240097e-05,2.058036e-04,8.779967e-05,7.300519e-07,5.413987e-06
3,5.375782e-05,1.242017e-05,1.829528e-04,8.017613e-05,7.350956e-07,5.326229e-06
4,5.097462e-05,1.228585e-05,1.604372e-04,7.158434e-05,7.376996e-07,5.275744e-06
5,4.988280e-05,1.223541e-05,1.383716e-04,6.238385e-05,7.351096e-07,5.261220e-06
6,4.891084e-05,1.223530e-05,1.155116e-04,5.180146e-05,7.275017e-07,5.286929e-06
7,4.795806e-05,1.236216e-05,9.316096e-05,4.147011e-05,7.284255e-07,5.238890e-06
8,4.731100e-05,1.222395e-05,8.037181e-05,3.479955e-05,7.411898e-07,5.223121e-06
9,4.616226e-05,1.230113e-05,7.058470e-05,3.028479e-05,7.320916e-07,5.244129e-06
10,4.476480e-05,1.251845e-05,6.021892e-05,2.631663e-05,7.136689e-07,5.228272e-06
11,4.433982e-05,1.233572e-05,5.921072e-05,2.573928e-05,7.166847e-07,5.185649e-06
12,4.385094e-05,1.245186e-05,5.474114e-05,2.401785e-05,7.102538e-07,5.206862e-06
13,4.316804e-05,1.236798e-05,5.787061e-05,2.516159e-05,6.957909e-07,5.190934e-06
14,4.287469e-05,1.241048e-05,5.797911e-05,2.510883e-05,7.043520e-07,5.195761e-06
15,4.303693e-05,1.247744e-05,5.505485e-05,2.416432e-05,6.931300e-07,5.183445e-06
16,4.213104e-05,1.230568e-05,5.440599e-05,2.394149e-05,6.843423e-07,5.170623e-06
17,4.168244e-05,1.231791e-05,5.298511e-05,2.316882e-05,6.847032e-07,5.177184e-06
18,4.128494e-05,1.228354e-05,5.409123e-05,2.365781e-05,6.776518e-07,5.169282e-06
19,4.124943e-05,1.223734e-05,5.200837e-05,2.300440e-05,6.792369e-07,5.170522e-06
20,4.036587e-05,1.243206e-05,4.995646e-05,2.234824e-05,6.736115e-07,5.181526e-06
21,4.052435e-05,1.229648e-05,5.106189e-05,2.266762e-05,6.689639e-07,5.171368e-06
22,4.047593e-05,1.237031e-05,4.961260e-05,2.208143e-05,6.736520e-07,5.180979e-06
23,4.003203e-05,1.237225e-05,4.880744e-05,2.165944e-05,6.682413e-07,5.188369e-06
24,3.993070e-05,1.254732e-05,4.907141e-05,2.181243e-05,6.729699e-07,5.208407e-06
25,3.981999e-05,1.255818e-05,4.868550e-05,2.170871e-05,6.612232e-07,5.195887e-06
26,3.942839e-05,1.253373e-05,4.919390e-05,2.203845e-05,6.665078e-07,5.184578e-06
27,3.907091e-05,1.245611e-05,4.884069e-05,2.185957e-05,6.691732e-07,5.176655e-06
28,3.929206e-05,1.261656e-05,4.758860e-05,2.129917e-05,6.641111e-07,5.200302e-06
29,3.843609e-05,1.254207e-05,4.971045e-05,2.204281e-05,6.606390e-07,5.179392e-06
30,3.835593e-05,1.245123e-05,4.351990e-05,2.008464e-05,6.676569e-07,5.172736e-06
31,3.795730e-05,1.254950e-05,4.544978e-05,2.057110e-05,6.629197e-07,5.176943e-06
32,3.785295e-05,1.259284e-05,4.379752e-05,2.003137e-05,6.683260e-07,5.179147e-06
33,3.792300e-05,1.263198e-05,4.226388e-05,1.958850e-05,6.606516e-07,5.184679e-06
34,3.718910e-05,1.239206e-05,4.347713e-05,1.983675e-05,6.531450e-07,5.155262e-06
35,3.781288e-05,1.256109e-05,4.423104e-05,2.016099e-05,6.583888e-07,5.168033e-06
36,3.749892e-05,1.273271e-05,4.282061e-05,1.973791e-05,6.582194e-07,5.191198e-06
37,3.740212e-05,1.274165e-05,4.338880e-05,1.994429e-05,6.561184e-07,5.180053e-06
38,3.724277e-05,1.269955e-05,4.353794e-05,1.993060e-05,6.550303e-07,5.166184e-06
39,3.712867e-05,1.269589e-05,4.326829e-05,1.992549e-05,6.607330e-07,5.176795e-06
40,3.664504e-05,1.264628e-05,3.948086e-05,1.866301e-05,6.616193e-07,5.156535e-06
41,3.687328e-05,1.272038e-05,3.998021e-05,1.867070e-05,6.598367e-07,5.169755e-06
42,3.655947e-05,1.255457e-05,3.886824e-05,1.836002e-05,6.581242e-07,5.148467e-06
43,3.615637e-05,1.276019e-05,3.906442e-05,1.838665e-05,6.509748e-07,5.166985e-06
44,3.629592e-05,1.277391e-05,3.882280e-05,1.835790e-05,6.456723e-07,5.172004e-06
45,3.628562e-05,1.276677e-05,3.961490e-05,1.867189e-05,6.488012e-07,5.165363e-06
46,3.629444e-05,1.272879e-05,3.947463e-05,1.859416e-05,6.558758e-07,5.146812e-06
47,3.611636e-05,1.274968e-05,3.829486e-05,1.811141e-05,6.510788e-07,5.150356e-06
48,3.617249e-05,1.278833e-05,3.908782e-05,1.842736e-05,6.506080e-07,5.164679e-06
49,3.588057e-05,1.273464e-05,3.757489e-05,1.792466e-05,6.498107e-07,5.141922e-06
